panel,metric,method,stack,n,median,q1,q3,iqr,censored_fraction,relative_pct
B,loc,λ = 0.1 (T=1),30_Green,9999,0.145343,0.069459,0.385821,0.316362,,15.314453
B,loc,λ = RL,19_Green,9998,0.187059,0.095450,0.491021,0.395570,,18.706473
B,loc,λ = RL,20_Green,9998,0.177866,0.091300,0.431281,0.339981,,17.526894
B,loc,λ = RL,29_Green,10000,0.246108,0.107157,0.712819,0.605662,,21.409986
B,loc,λ = RL,30_Green,9999,0.147617,0.079863,0.343015,0.263152,,15.554073
C,phot,N2V,19_Green,10000,97.340790,36.153686,203.991053,167.837367,,24.886363
C,phot,N2V,20_Green,9999,88.741013,33.866139,184.351792,150.485653,,23.771949
C,phot,N2V,29_Green,10000,74.205208,29.528693,185.346302,155.817609,,15.333669
C,phot,N2V,30_Green,10000,111.337000,41.531669,226.750253,185.218584,,28.273062
C,phot,PN2V,19_Green,10000,100.645216,31.432742,233.015728,201.582987,,25.731180
C,phot,PN2V,20_Green,9999,87.009717,27.534555,197.536962,170.002408,,23.308169
C,phot,PN2V,29_Green,9997,151.539318,59.016915,291.864196,232.847281,,31.313891
C,phot,PN2V,30_Green,10000,102.671144,33.902290,232.562342,198.660053,,26.072444
C,phot,PPN2V,19_Green,10000,101.760461,42.197587,201.994286,159.796699,,26.016306
C,phot,PPN2V,20_Green,9999,93.050883,39.733640,181.016473,141.282833,,24.926477
C,phot,PPN2V,29_Green,10000,83.798078,32.979682,194.911275,161.931593,,17.315927
C,phot,PPN2V,30_Green,10000,113.623707,48.324416,220.796364,172.471948,,28.853752
C,phot,DeepCAD-RT,19_Green,10000,263.341899,178.158735,390.551981,212.393246,,67.326576
C,phot,DeepCAD-RT,20_Green,9999,256.253512,177.597133,371.352844,193.755711,,68.645209
C,phot,DeepCAD-RT,29_Green,10000,305.035370,193.969642,484.796969,290.827327,,63.032119
C,phot,DeepCAD-RT,30_Green,10000,267.810383,180.368380,408.580553,228.212173,,68.008117
C,phot,λ = 0.001 (T=1),19_Green,10000,373.683308,267.478581,541.659216,274.180635,,95.536707
C,phot,λ = 0.001 (T=1),20_Green,9999,356.474213,261.500032,497.442283,235.942251,,95.492338
C,phot,λ = 0.001 (T=1),29_Green,10000,457.851696,303.053208,698.357398,395.304189,,94.609888
C,phot,λ = 0.001 (T=1),30_Green,10000,377.398549,274.689742,557.585759,282.896018,,95.837078
C,phot,λ = 0.1 (T=1),19_Green,10000,9.671925,4.165816,22.158415,17.992599,,2.472746
C,phot,λ = 0.1 (T=1),20_Green,9999,8.901061,3.894319,20.313320,16.419000,,2.384417
C,phot,λ = 0.1 (T=1),29_Green,10000,10.796744,4.759480,25.557099,20.797619,,2.231025
C,phot,λ = 0.1 (T=1),30_Green,9999,10.766126,4.517748,24.496211,19.978463,,2.733964
C,phot,λ = RL,19_Green,9998,19.271182,8.331778,39.221105,30.889327,,4.926913
C,phot,λ = RL,20_Green,9998,22.306440,10.098881,42.980098,32.881217,,5.975451
C,phot,λ = RL,29_Green,10000,25.240421,11.436426,50.267549,38.831124,,5.215648
C,phot,λ = RL,30_Green,9999,19.186574,8.307132,40.925782,32.618650,,4.872264
