,DeepCAD-RT,N2V,PN2V,PPN2V,RL
1.0,0.008862774238499248,0.1406592315561262,-0.013049850074141911,-0.003293940151995178,-0.021938947322992293
3.0,-0.006391459991672521,0.14449572555249948,-0.009805231769426284,0.001049926114731603,-0.02347466058460867
5.0,-0.04785610987005429,0.13359746418583818,-0.01927621113008421,-0.011708891102101049,-0.019499489945093745
7.0,0.012553125948108682,0.13680511249066313,-0.021029215433316477,-0.009286871355001114,-0.01794985659827661
9.0,-0.001558597543459443,0.14412277464184534,-0.012593792012172873,0.0026928410047936664,-0.00987482609879389
11.0,0.017584095644059456,0.15319731912517068,-0.0044115302731351095,0.006644902597195667,0.005852157567905265
13.0,0.0024203175494843182,0.15920718189073638,0.008468821038625996,0.01584057181591821,-0.014215080520323732
15.0,-0.04872266829080427,0.15048635904383434,-0.008395557201885102,0.00023518447637359917,-0.010189937510422393
