method,n,retention_pct,mean_dx,mean_dy,bias,scatter,rms,bias_pct_of_rms,bias_pct_of_rms_squared,label,pp_period_2,pp_period_4,pp_period_8,pp_period_16,pp_period_32
DeepCAD-RT,7790,97.375,-0.0079882119663779,-0.0388563104855305,0.039668934885723,0.8283278110134749,0.8292771472151771,4.783555777334105,0.228824058748665,DeepCAD-RT,0.0842266522177972,0.0944536876728027,0.0644006764748857,0.0663067639348637,0.0741715833476978
N2V,7971,99.7622027534418,0.1453654486705851,-0.1431712330355868,0.2040321436346019,0.382347852021459,0.4333808897281401,47.07917411000548,22.164486348802093,N2V,0.1275644635424004,0.117156526058263,0.0222854463616044,0.0256097177048982,0.0226731456162508
PN2V,7973,99.72482801751094,-0.0099388032578139,0.0365557302942954,0.0378827299378859,0.3861319372719438,0.3879857912461888,9.763947750820655,0.9533467568075576,PN2V,0.1251416310536031,0.1244827996174006,0.0270417598342814,0.0294980364719424,0.0300300877639766
PPN2V,7983,99.7875,0.0003118721159256,-0.0006667868482582,0.0007361174618919,0.3847337832456804,0.3847344874578466,0.1913312910302999,0.0003660766292732,PPN2V,0.1246480527021244,0.128675719967223,0.0358368627307908,0.0275494629180192,0.0252620834030341
RL,7957,99.87448223923684,-0.0140149194166916,0.0097199822984307,0.0170556741918391,0.4104654461107914,0.4108196422678316,4.151620915126498,0.1723595622291577,λ = RL,0.1440091521725972,0.1396929693027677,0.0179514612873732,0.0293268181525139,0.0302315674198816
